Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0014145,Res,125,S,42ND,ST,,BOULDER,Split-Level,Average,2007,"1,426",0,0,0,Attached,253,"6,902",3734964,No,2019-09-05 00:00:00,"$746,000","$1,059,900",104,39.99011775,-105.2435178852453
R0014145,Res,125,S,42ND,ST,,BOULDER,Split-Level,Average,2007,"1,426",0,0,0,Attached,253,"6,902",3836028,No,2020-11-16 00:00:00,"$750,000","$1,006,700",104,39.99011775,-105.2435178852453
R0011609,Res,355,S,42ND,ST,,BOULDER,Ranch,Average,1982,"1,350","1,350","1,215",135,,0,"7,751",3873856,No,2021-03-12 00:00:00,"$760,000","$980,200",104,39.98771240000001,-105.24558729658636
R0012687,Res,360,S,42ND,ST,,BOULDER,Ranch,Average,1988,"1,150","1,350","1,215",135,Attached,200,"7,366",3847535,No,2020-12-31 00:00:00,"$783,000","$1,040,500",104,39.98769845,-105.2450984
R0013881,Res,610,S,42ND,ST,,BOULDER,Ranch,Average,1995,"1,107","1,107",996,111,Attached,264,"6,989",3856785,No,2021-02-05 00:00:00,"$728,000","$948,400",104,39.98451235,-105.2452639
R0012280,Res,655,S,42ND,ST,,BOULDER,Ranch,Average,1975,"1,537","1,107",813,294,Attached,264,"7,182",3757123,No,2019-12-18 00:00:00,"$780,000","$1,122,700",104,39.9835999,-105.24573335601583
R0010611,Res,735,S,42ND,ST,,BOULDER,Ranch,Average,1958,"1,107","1,107",996,111,Attached,264,"7,180",3900650,No,2021-07-15 00:00:00,"$1,025,000","$1,269,200",104,39.98285835,-105.24570559163168
R0012175,Res,740,S,42ND,ST,,BOULDER,Ranch,Average,1980,"1,107","1,107","1,107",0,Attached,264,"7,307",3895994,No,2021-06-22 00:00:00,"$779,000","$975,200",104,39.98282585,-105.2452582
R0014263,Res,365,S,43RD,ST,,BOULDER,Ranch,Average,2001,"1,510","1,350",985,365,Attached,200,"7,466",3845622,No,2020-12-23 00:00:00,"$855,000","$1,136,200",104,39.987499799999995,-105.24473205
R0010405,Res,525,S,43RD,ST,,BOULDER,Ranch,Average,2000,"1,107","1,107","1,107",0,Carport,275,"7,193",3913543,No,2021-09-10 00:00:00,"$820,000","$969,000",104,39.9852717,-105.244836075
R0010630,Res,545,S,43RD,ST,,BOULDER,Ranch,Average,1995,"1,377","1,107",996,111,,0,"7,277",3766009,No,2020-02-11 00:00:00,"$712,000","$1,030,000",104,39.98488485,-105.24480225653168
R0013916,Res,705,S,43RD,ST,,BOULDER,Ranch,Average,1990,"1,567","1,106",996,110,Carport,264,"7,177",3726317,No,2019-07-24 00:00:00,"$750,000","$1,062,200",104,39.9834195,-105.24480022497612
R0010212,Res,715,S,43RD,ST,,BOULDER,Ranch,Average,1978,"1,515","1,170","1,053",117,Attached,264,"7,079",3796526,No,2020-07-06 00:00:00,"$805,000","$1,124,300",104,39.98324755,-105.24479763515568
R0011153,Res,745,S,43RD,ST,,BOULDER,Ranch,Average,1985,"1,559","1,107","1,107",0,Attached,264,"6,970",3802840,No,2020-07-29 00:00:00,"$775,000","$1,082,400",104,39.98262055,-105.2448299412888
R0013121,Res,750,S,43RD,ST,,BOULDER,Ranch,Average,2001,"1,040","1,040",936,104,Attached,276,"7,017",3957458,No,2022-04-15 00:00:00,"$1,200,000","$1,200,000",104,39.98261645,-105.24431803238257
R0010936,Res,425,S,44TH,ST,,BOULDER,Ranch,Average,1989,"1,150","1,350","1,150",200,Attached,200,"7,013",3815718,No,2020-09-10 00:00:00,"$755,000","$1,033,700",104,39.9867493,-105.24385725025454
R0012886,Res,535,S,44TH,ST,,BOULDER,Ranch,Average,1982,"1,040","1,040",520,520,Carport,220,"7,102",3775072,No,2020-03-25 00:00:00,"$609,000","$885,100",104,39.98503,-105.24387217616
R0012997,Res,555,S,44TH,ST,,BOULDER,Ranch,Average,1995,"1,490","1,040",980,60,,0,"7,148",3759768,No,2020-01-07 00:00:00,"$705,000","$1,018,000",104,39.98467935,-105.24384630341768
R0012737,Res,405,S,45TH,ST,,BOULDER,2-3 Story,Good,1990,"1,554",884,884,0,Attached,286,"8,009",3819070,No,2020-09-23 00:00:00,"$820,000","$1,113,100",104,39.987124699999995,-105.24290160863912
R0010043,Res,410,S,45TH,ST,,BOULDER,2-3 Story,Average,1980,"1,563",0,0,0,Attached,286,"7,158",3912747,No,2021-09-08 00:00:00,"$774,900","$910,400",104,39.98709425,-105.2423942
